mdl,cd0_clean,cd0_taxi,cd0_to,cd0_ic,cd0_ap,cd0_ld,k,e
A319,0.020,0.051,0.074,0.040,0.050,0.116,0.0334,0.9222
A320,0.023,0.055,0.078,0.043,0.053,0.120,0.0334,0.9220
A321,0.033,0.069,0.091,0.053,0.063,0.133,0.0344,0.9244
A332,0.024,0.049,0.074,0.044,0.054,0.118,0.0343,0.9230
A333,0.026,0.051,0.075,0.046,0.056,0.120,0.0344,0.9199
A359,0.027,0.051,0.075,0.047,0.057,0.120,0.0364,0.9210
A388,0.012,0.034,0.059,0.032,0.042,0.104,0.0456,0.9269
B734,0.021,0.060,0.081,0.041,0.051,0.122,0.0372,0.9339
B737,0.024,0.053,0.077,0.044,0.054,0.120,0.0366,0.9213
B738,0.021,0.053,0.076,0.041,0.051,0.119,0.0365,0.9231
B739,0.024,0.057,0.080,0.044,0.054,0.122,0.0365,0.9233
B744,0.025,0.052,0.076,0.045,0.055,0.119,0.0435,0.9271
B748,0.028,0.056,0.079,0.048,0.058,0.123,0.0408,0.9237
B772,0.033,0.059,0.083,0.053,0.063,0.127,0.0396,0.9269
B77W,0.033,0.062,0.085,0.053,0.063,0.129,0.0396,0.9269
B788,0.022,0.046,0.071,0.042,0.052,0.115,0.0361,0.9202
B789,0.024,0.050,0.074,0.044,0.054,0.118,0.0359,0.9241
E75L,0.022,0.053,0.076,0.042,0.052,0.119,0.0371,0.9223
E190,0.020,0.050,0.073,0.040,0.050,0.116,0.0387,0.9219
E195,0.032,0.062,0.085,0.052,0.062,0.128,0.0389,0.9183
