typecode,engine_type,c1,c2,c3
A318,CFM56-5B9/3,1.5141505829176147,1.6496560663976285,3.20352657122113
A319,V2524-A5,1.6973026131805655,1.9118051500437014,2.8873045077293376
A320,CFM56-5B4/P,1.8887820220217584,2.2438479685159014,2.361883847949703
A321,V2533-A5,2.509571815383611,2.0294480218528728,1.8743884048710222
A332,Trent 772,5.480882768126624,1.056627115240077,2.977002705484859
A333,Trent 772,6.04194455453213,1.0110461653727705,2.3921617661102856
B734,CFM56-3C-1,2.4155999999999995,2.370353560098578,0.3196311597480692
B737,CFM56-7B26,2.011953122507215,1.4267022643939695,3.613837770854394
B738,CFM56-7B26E,2.026614095766349,1.8433356145414999,2.4847042845050766
B739,CFM56-7B27E,2.5883999999999996,1.6561390223304782,1.251565121584453
E170,CF34-8E5,1.3037241218695619,2.90703362427305,0.6266240787125034
E190,CF34-10E5,1.5968137761775374,2.4698931997866773,0.6564641690174086
E195,CF34-10E5A1,1.6604011190910724,2.0410650337561758,1.3213420733419976
E75L,CF34-8E5,1.2736342408013355,2.7349180654435266,0.7169080532903974
default,default,1.8497366218576496,2.0668722638298687,1.5510804722001057
